random,egreedy 0,egreedy 0.1,egreedy 0.2,Softmax 1,Softmax 0.1
0.7996195482,0.918467391,1.1344558194,1.1220904772,0.9695953845,1.0902117217
0.7992947383,0.918396239,1.1347149535,1.1226682474,0.9696019951,1.0903847514
0.7995242198,0.9183819749,1.1349772411,1.122641353,0.9693403652,1.0908487573
0.7995416044,0.9184478767,1.1354750629,1.1229817813,0.969371164,1.091108497
0.7992919615,0.9185344144,1.1357285918,1.1233025537,0.9692501941,1.0915622252
0.7995160468,0.9186100344,1.1361156555,1.1233233492,0.9692620623,1.0919112239
0.7996088546,0.9186639172,1.1364510405,1.1235287653,0.9692669026,1.0923591925
0.7996068756,0.9186974775,1.1366266537,1.123852577,0.969161454,1.0927821521
0.7992488665,0.918599624,1.137068935,1.1242063671,0.9692666167,1.0932311333
0.7993101325,0.9186043462,1.1373901841,1.12446245,0.9693846365,1.0935276033
0.7994738951,0.9186045561,1.1375539212,1.124474712,0.9695929019,1.093903484
0.7993834165,0.9187079882,1.1378050807,1.1247660245,0.9696100298,1.094254915
0.799409065,0.918668447,1.1380255031,1.1250149109,0.9697857912,1.0945963214
0.7994360741,0.918493812,1.1383307369,1.1253843837,0.9698832095,1.0947977505
0.7993615645,0.9183132062,1.1386477033,1.1257311688,0.9699840344,1.0951739986
0.7994865049,0.9183108961,1.1391058535,1.1258539617,0.9700632044,1.0956693854
0.7995614909,0.9183936429,1.1394422839,1.1259179296,0.9700444768,1.0959924686
0.7997339726,0.918467497,1.1399503363,1.1261491219,0.9699819947,1.0963129661
0.7999346906,0.9185559697,1.1401735038,1.1264649127,0.9699555268,1.0967418328
0.8000638463,0.918643753,1.1405323531,1.1266714788,0.9699728581,1.0971705394
0.8000223013,0.9185729781,1.1409127351,1.1267704975,0.9699838759,1.0975126994
0.8000796405,0.9185602507,1.1411340557,1.1269728012,0.9699981697,1.0979087386
0.7997425553,0.9186633807,1.1414491563,1.1270896967,0.9700457061,1.0983965284
0.79978142,0.9184873922,1.1416122045,1.1273728946,0.9698953553,1.0987164494
0.7998300095,0.918583375,1.141793718,1.1275061313,0.9697462836,1.0990073976
0.7997099632,0.9186888688,1.1421636469,1.1278149841,0.9697745983,1.0994211054
0.7996220037,0.9186868382,1.1423892532,1.127938055,0.9697439378,1.0998649264
0.7996363935,0.9188204907,1.1425519695,1.1280918148,0.9697587197,1.1003031365
0.7997798071,0.918996117,1.1426719648,1.1281264053,0.9695834269,1.1006153074
0.7997767462,0.9189956116,1.1429305408,1.1284149921,0.9696463606,1.10088669
0.7998637049,0.9189449497,1.1430821237,1.128694244,0.9696856228,1.1011103862
0.7999634533,0.91892458,1.1435276771,1.1289187975,0.969564055,1.1014177153
0.8000436565,0.9190430475,1.1438448233,1.1290423239,0.9696352465,1.1018386643
0.8000969051,0.9191766102,1.144086504,1.1292649791,0.9699307178,1.1020580998
0.8000475614,0.9190752716,1.1443265852,1.1293475425,0.9698040885,1.1024003442
0.8002682533,0.919111127,1.1447507602,1.1295775297,0.969706834,1.1027959808
0.8003333309,0.9189961184,1.1450788832,1.1297520493,0.969822087,1.1031055166
0.8003399948,0.919031141,1.1453728715,1.129880166,0.9698192919,1.1034370031
0.8003323555,0.919130905,1.1455782032,1.1300323308,0.9696880359,1.103645841
0.800413434,0.9191482381,1.1459225852,1.1301866777,0.9698550937,1.1038264378
0.8003247205,0.9190913769,1.1462470088,1.1302426351,0.9698572758,1.1040729423
0.8001739585,0.9191298668,1.1465371691,1.1305144221,0.9696326749,1.1043932509
0.8001811781,0.9192493776,1.1468786307,1.1306631967,0.969889127,1.1045313553
0.8002016898,0.9192410625,1.1472461587,1.13080613,0.9698322373,1.1047641818
0.8002382102,0.9192613,1.147498134,1.1309597649,0.9698513533,1.1051120924
0.8001690979,0.9193456785,1.1476577832,1.1312864421,0.9699007798,1.105409788
0.7999633595,0.919466071,1.1478521092,1.1313405114,0.9699876533,1.1058393204
0.7998004642,0.9194978113,1.1481007578,1.1316754215,0.970046687,1.1061074166
0.799853403,0.9195399029,1.1483146555,1.1319560281,0.970292556,1.106452216
0.7998431111,0.9196814153,1.1484628963,1.1319404066,0.9702912111,1.1067598926
0.7999221609,0.9197341007,1.1487079638,1.1320131807,0.9703110937,1.1072208872
0.7998863823,0.9197011207,1.1489080006,1.1321448763,0.9703367133,1.1076194901
0.7998540855,0.9197623513,1.149092973,1.1324186215,0.970405078,1.107906568
0.7997606933,0.9198083481,1.1491768759,1.1326249126,0.9704178394,1.1081051563
0.7995343712,0.9198105672,1.1492719582,1.1328341641,0.9702969042,1.1083444303
0.7995793103,0.9198985412,1.1494802402,1.13297566,0.9702133771,1.1086099402
0.7995731268,0.9200318338,1.1496728848,1.1330722021,0.9702656577,1.1088772881
0.7996265396,0.9201884717,1.1500302807,1.1332422661,0.9703202899,1.1091957029
0.7996527874,0.9202427746,1.1502510341,1.1332100534,0.970586337,1.1094059696
0.7997341933,0.920305545,1.1504999494,1.1331873293,0.9704541689,1.1096958723
0.7995992417,0.9203128338,1.1508219098,1.1332005067,0.9704481375,1.1100212987
0.7994835894,0.9203243179,1.1510477793,1.1334641894,0.9703674574,1.1102086175
0.7995487685,0.9202942383,1.1512996903,1.133657758,0.970381922,1.1104860376
0.799465924,0.9203199164,1.1514818089,1.1338367944,0.9704151793,1.1107593048
0.7994274249,0.9203065733,1.1517201366,1.1339594224,0.9702859708,1.1109541117
0.7993673059,0.9203181302,1.1520363341,1.1341111529,0.9702574734,1.1112356042
0.7992786622,0.9203232753,1.1523893685,1.1341532498,0.9702424645,1.1115025226
0.7990466833,0.9203167367,1.1526159161,1.1340689698,0.9700859734,1.111770356
0.7990822697,0.92025722,1.1528784664,1.1342528377,0.9700916091,1.1120690559
0.7990791116,0.9204479241,1.1530742726,1.1344466279,0.9699655025,1.1124378333
0.7991202015,0.9204834002,1.1532118043,1.1345203687,0.9699260669,1.1126450682
0.7991293992,0.9203843859,1.1535264372,1.1345968017,0.9697696972,1.1129575403
0.7990292002,0.9203484939,1.1536963596,1.1347059241,0.9697408542,1.1131958756
0.7991216681,0.9203352531,1.1540251928,1.1348903534,0.9696567781,1.1135341312
0.7992722514,0.9203110732,1.1541348608,1.1350644341,0.9698731161,1.1138120729
0.7992596119,0.9202187632,1.1542795429,1.1351601632,0.969810514,1.114172651
0.7993432459,0.9202415477,1.1545188001,1.1353201443,0.9698343099,1.1143771072
0.7994416262,0.9203407077,1.154768847,1.1353610041,0.9698007311,1.114627579
0.7995357042,0.9202771214,1.1551211724,1.135421544,0.9698825105,1.1147753407
0.7995154011,0.9203100699,1.1553031581,1.135436689,0.9697964286,1.1150171147
0.7997042623,0.9202853577,1.1555948878,1.135542547,0.9698579635,1.1151596704
0.7995791593,0.9203642873,1.1558150707,1.1356788619,0.9698282321,1.115394046
0.7995224514,0.9203443698,1.1561055144,1.1357453793,0.9699664325,1.115634083
0.7995072034,0.920293437,1.1562622909,1.1357505986,0.9698305155,1.1157776801
0.7994046335,0.9202556901,1.1565274043,1.1360798387,0.9698014845,1.1160830787
0.7995134077,0.9202066611,1.1567395692,1.1361541065,0.9698376214,1.1163557198
0.7994155794,0.9202530799,1.1570460572,1.1362335608,0.9698021419,1.116579717
0.7993663447,0.9202756711,1.1571703957,1.1362877601,0.9696258799,1.1168053687
0.7995501401,0.9203621441,1.1573459294,1.1364929399,0.9697555318,1.1171429454
0.7995372935,0.9202720193,1.1574581928,1.1366620796,0.9698309765,1.117334042
0.799723902,0.9203323638,1.1576272908,1.1368104232,0.9698743278,1.1175513752
0.7996947845,0.9204537102,1.1578500984,1.1369773422,0.9699592737,1.1177652973
0.7998566927,0.9202957885,1.1579813088,1.1370515831,0.9699621872,1.1179186603
0.7997533125,0.9203478753,1.1581423038,1.1370402942,0.9700331616,1.1182174901
0.7996724166,0.9204260979,1.1583058184,1.1372301561,0.9701225962,1.1184472534
0.7996838078,0.9205317096,1.1585443734,1.1373278995,0.9701706442,1.1186050321
0.7997637503,0.920484173,1.1587535202,1.1374770836,0.9701543243,1.1188078009
0.7995108792,0.9204973579,1.1589672379,1.137583672,0.9701987507,1.1190305845
0.7995679495,0.920400978,1.1590738495,1.1377401404,0.9702724137,1.1192819732
0.7996923339,0.9204326322,1.159299852,1.1378472282,0.9701987306,1.1195037694
0.7996621841,0.9204945627,1.1595047485,1.1379898788,0.970128837,1.1196564238
0.7996828523,0.9205272745,1.159717581,1.1380639426,0.970074497,1.1197753754
0.7996788541,0.9204450014,1.1599094735,1.1382295353,0.9700538596,1.1199777297
0.7997243798,0.9204625184,1.16021522,1.1382618543,0.970180798,1.1202129572
0.7995843832,0.9204744263,1.1603556487,1.1386150314,0.9702583474,1.1203908195
0.7996647552,0.9204173371,1.1605055445,1.138593822,0.9702604769,1.1206613886
0.7997385903,0.920376808,1.1606645855,1.1387811805,0.9702799591,1.1208914315
0.7998117366,0.9203453177,1.1608525805,1.1389094278,0.9702941999,1.1210074977
0.799704908,0.920216798,1.1610887804,1.1389904092,0.9703345299,1.1212494543
0.7997572684,0.9201908704,1.1614008617,1.1389906156,0.9702679841,1.1215095734
0.7997870042,0.9201912633,1.1616075344,1.1390948014,0.9702858559,1.1218421708
0.7997225395,0.9202269872,1.1618353308,1.1392554965,0.9702773625,1.1221590232
0.7997738995,0.9202048307,1.1619727169,1.1393687979,0.9702334515,1.1223231659
0.79969771,0.9202065178,1.1622190244,1.1395042015,0.970164762,1.1224534771
0.7998479957,0.9201269934,1.1623250693,1.1395380315,0.9702863128,1.1226783555
0.7998594848,0.9201685511,1.1624905124,1.1396064253,0.9702128331,1.1228940034
0.7998695498,0.9201548807,1.1625982077,1.1397353636,0.9701399305,1.123128198
0.7997392199,0.9201472295,1.1626569605,1.1398277891,0.9701997386,1.1233923713
0.7998520381,0.9200499627,1.1628103329,1.1399877111,0.9701928439,1.1236462856
0.7998979238,0.9200017553,1.1627809669,1.1401956922,0.970198504,1.1238742186
0.7999124435,0.9200782583,1.1629018307,1.1403098807,0.9702908836,1.1240342434
0.799790401,0.9202147473,1.1630559064,1.140546318,0.9702699311,1.1242489406
0.7997598949,0.92017027,1.1631432905,1.1407616655,0.9702252484,1.1243803181
0.7997549939,0.9202617258,1.1633032546,1.1407793498,0.9701962686,1.1245814674
0.7998223955,0.9203027261,1.1634932778,1.1410296368,0.970226932,1.124830448
0.7997964266,0.9201931979,1.163575935,1.1411345433,0.9702003758,1.1249755214
0.7997637614,0.9202204038,1.1637324622,1.1413636711,0.9699969517,1.12513035
