eGreedy time,Softmax Time
1.2092924472,0.8526426957
1.2093772282,0.8526880106
1.2094803911,0.8527761907
1.2094698672,0.8527978455
1.209568064,0.8528360161
1.2096393979,0.85288173
1.2096870012,0.8528784226
1.2097433535,0.8529170974
1.2097974535,0.8530430233
1.2098481086,0.8531192701
1.2098983117,0.8530534346
1.2100182822,0.8531428651
1.2100818603,0.8532059472
1.2101470184,0.8532506552
1.2101464724,0.8532284329
1.2102110252,0.8532225946
1.2102943681,0.8533097236
1.2103844773,0.8533707369
1.2104980942,0.8534081943
1.210521911,0.8534478302
1.2105241498,0.8534949558
1.2105934112,0.853543033
1.2106279644,0.8536419872
1.2106837284,0.8537104607
1.2107529494,0.8537516564
1.2107677011,0.8537648421
1.2108237974,0.8538279318
1.2109037706,0.8539483745
1.2109633572,0.8540295499
1.2110477573,0.8540187424
1.2111343071,0.8540631614
1.2111898603,0.8541093934
1.2112216227,0.8541459368
1.2113032907,0.8541649426
1.2113684408,0.8542427085
1.2114519136,0.8542771122
1.2115061214,0.8543461387
1.2115531016,0.8543543389
1.2115950455,0.8543673014
1.2115960422,0.8543938798
1.2117084766,0.8544341928
1.2117908491,0.8544704758
1.2119130471,0.8545228496
1.2119168529,0.8545900134
1.2120202458,0.8546422619
1.2120712437,0.8546542487
1.2121612269,0.8546941781
1.2122277375,0.8547363816
1.2122842175,0.8547904716
1.2123150951,0.854822572
1.2123606309,0.8548174044
1.2124188402,0.8549146282
1.2124601734,0.8549391457
1.212516068,0.8549983336
1.2125483534,0.8550084189
1.2126710099,0.8550600529
1.2127101037,0.8551028394
1.2126958121,0.8551104025
1.212768517,0.855210978
1.2128673892,0.8552905865
1.2129478143,0.8553585584
1.2130242246,0.8554003109
1.2130188765,0.8554460223
1.2131374713,0.85547123
1.2131881245,0.8555143294
1.2132246515,0.8555675911
1.2133163276,0.8556063976
1.2133771598,0.8556316128
1.2134088996,0.8556356587
1.2134586343,0.8557552219
1.2135369445,0.8557478034
1.2136227074,0.8557570171
1.2137031062,0.8557870864
1.2137726944,0.8557736502
1.2138610911,0.8558663354
1.2139519923,0.8558813387
1.2139803098,0.8559227601
1.2141033804,0.8560169183
1.2141394344,0.8560938561
1.2141870927,0.8561739589
1.2142715786,0.8562121437
1.214328223,0.8562717005
1.2143629174,0.8563717783
1.2143600742,0.8564420333
1.2143968123,0.8565122508
1.2145007502,0.8565687514
1.214545123,0.856518787
1.2146046598,0.8565814467
1.2146233029,0.8566045484
1.2146632218,0.8566520641
1.2147566803,0.8566556104
1.2147872964,0.8566873546
1.2148079735,0.8567393183
1.2148774808,0.8567462363
1.2149001966,0.8568136423
1.2148972416,0.8569258136
1.2149106508,0.8569857832
1.2149710177,0.8570470178
1.2150356723,0.8571007766
1.2150569372,0.8571192294
1.21510879,0.8571497663
1.2151639508,0.8571852677
1.2151882601,0.8572495623
1.2152739104,0.8573166753
1.2153641614,0.8573741572
1.215435268,0.8574452329
1.2155202586,0.8575086366
1.2156031011,0.8575594369
1.2156912755,0.8576449506
1.2157580013,0.8576390653
1.2157774476,0.8576416101
1.2158365359,0.8576690383
1.2158903426,0.8576987154
1.2159827625,0.8577657976
1.2160042681,0.857820354
1.2160679668,0.8578884889
1.2161289306,0.8579305646
1.2161843436,0.8579380558
1.2162887429,0.8578958769
1.216351108,0.8579479719
1.2163916027,0.8579722016
1.2164473786,0.8580003291
1.2164949164,0.8580052666
1.2165322982,0.8580403452
1.2165485348,0.8580770572
1.2165973197,0.8581118306
1.2166328509,0.8581653686
1.2166813172,0.8582180951
1.2167127807,0.8581668657
1.2167836912,0.8581794489
1.2168736536,0.858242148
1.2169101027,0.8582907608
1.2169581027,0.8583200832
1.2169722234,0.8583693583
1.2170328433,0.8583391909
1.21709809,0.8583455413
1.2171680488,0.8583984325
1.2171751429,0.8584195088
1.2171804083,0.8584822733
1.2172789064,0.8584951453
1.2173265523,0.8585247598
1.2173821093,0.8585238732
1.2173949526,0.8585893207
1.2173837228,0.8586175199
1.217410594,0.8586451994
1.217455855,0.8586836847
1.2175075642,0.858677571
1.2175490111,0.8586750314
1.2175817911,0.8587228037
1.2175924554,0.8587926086
1.2176022072,0.8588769241
1.2176358503,0.8589291064
1.2176782064,0.8589728778
1.2177539314,0.8590646542
1.2178419927,0.8590730828
1.2178585172,0.8591228349
1.217901192,0.8591443473
1.2178817058,0.859224803
1.217912508,0.8593393752
1.2179739588,0.8595230618
1.218028166,0.8596372536
1.2180429145,0.8597942076
1.2181587201,0.8599436887
1.2181634635,0.860070301
1.2182173689,0.8601748567
1.2182701758,0.8602843341
1.218332798,0.8604573266
1.2183457776,0.8606103387
1.218337484,0.8607589383
1.2183992198,0.8608586772
1.2184571403,0.8609975887
1.2185194948,0.8611040548
1.2185557346,0.8612518567
1.218647139,0.8613409824
1.218729966,0.861468454
1.218779574,0.8615812067
1.2188191645,0.8616864573
1.2188380368,0.861802036
1.2188778849,0.8619676775
1.218922031,0.862070208
1.2189870868,0.8621907891
1.2190407833,0.8623334341
1.2191190716,0.8624724777
1.2192099063,0.8625649106
1.2192388361,0.8627249798
1.2193224694,0.8628194721
1.2193591309,0.8629443075
1.2193845399,0.8630396924
1.2194165641,0.8631482484
1.2194312192,0.863260384
1.2194823789,0.8633438969
1.2195738317,0.8634439164
1.2195864851,0.8635400349
1.2196223303,0.8636612058
1.2196184133,0.8637551098
1.2196494149,0.8639029718
1.219657695,0.8640124804
1.2197218746,0.8641424639
1.2197381912,0.8642915514
1.2197911602,0.864412154
1.219784585,0.8645769316
1.2198258986,0.8646766816
1.2198678481,0.8647403446
1.2198539507,0.8648325772
1.2199165146,0.8649826955
1.2199272712,0.8650989463
1.2199416653,0.8652314609
1.219908109,0.8653426698
1.2199467328,0.8654365945
1.2200256722,0.8655202898
1.2200403485,0.8656624976
1.2201106766,0.8657847365
1.220140288,0.8658965593
1.2201848925,0.8659837837
1.2202616026,0.8661055099
1.220277417,0.8661827325
1.2203218656,0.8663279951
1.2203609723,0.8664932375
1.2204202434,0.866614808
1.2204973969,0.8667278493
1.2205452881,0.8669260688
1.2205895288,0.8670703491
1.2205979021,0.8671708809
1.2205931362,0.8672778506
1.2206189883,0.8673748903
1.2206552611,0.867472876
1.2206996727,0.8676276405
1.2207420096,0.8676969256
1.2207780541,0.8678875849
1.2208282564,0.8679939754
1.2208250189,0.8680905062
1.2208464617,0.8681636252
1.2209234447,0.8683470265
1.2209738396,0.8684438511
1.220991213,0.8685732618
1.2210249864,0.8686723324
1.2210631106,0.868835329
1.2210859566,0.8690144215
1.2210807504,0.8691257343
1.2211361918,0.8692351197
1.2211462386,0.8693058968
1.2211757782,0.8694310692
1.2211995483,0.8695335295
1.2212478112,0.8696377664
1.2212783788,0.8697934693
1.2213366677,0.869950977
1.2213667888,0.8700453081
1.2214097963,0.8701536625
1.2214261238,0.8702574806
1.2214963038,0.8703520009
1.2215332731,0.8704455086
1.221570914,0.8705789165
1.2216224478,0.8706748122
1.2216411219,0.8707968011
1.2216538976,0.870947438
1.2216891758,0.8710741872
1.2217588455,0.871157772
1.2217781305,0.8713086714
1.2218387538,0.8713912218
1.2218704777,0.87149841
1.2219097003,0.8715936673
1.2219315537,0.8717514985
1.2219722798,0.871917492
1.2220210016,0.8720308218
1.2220833653,0.872164746
1.2221222877,0.872245015
1.2221961378,0.8723855844
1.2222395744,0.8725005949
1.2222866218,0.8725802687
1.2222981287,0.8726567346
1.2223318604,0.8727573925
1.2223454458,0.8728587278
1.2224018564,0.8729869397
1.2224235333,0.8731168079
1.222436742,0.8732759418
1.2224548441,0.8734061917
1.2224871786,0.8735335713
1.2225101531,0.8736192653
1.2225789159,0.8737435486
1.2225921755,0.8738973885
1.2226349597,0.8739817852
1.2226708784,0.8741295635
1.2227325365,0.8742212203
1.2227747987,0.8743166234
1.222780247,0.8744544439
1.2228492078,0.8745619069
1.222892629,0.8746147379
1.222971603,0.8746237905
1.2230057034,0.8747002745
1.223015211,0.8748271186
1.2230306495,0.8749653659
1.2231190894,0.8750739048
1.2231721191,0.875179393
1.2232025148,0.8753199799
1.2232393875,0.875452603
1.2232699783,0.875534793
1.2232917845,0.8756377883
1.2233652889,0.8757725629
1.2233945488,0.8759049215
1.2234237578,0.8760347984
1.2234466398,0.8761464847
1.2234922784,0.8762291553
1.2235378987,0.8763349212
1.223585577,0.8764435689
1.2236225294,0.8765100934
1.223640457,0.876594045
1.2237213019,0.8767165414
1.2237459435,0.8768128364
1.223803394,0.8769301727
1.223801428,0.8770287308
1.2238266946,0.8771306556
1.22382186,0.877248084
1.2238444908,0.8773459752
1.2238473564,0.8774378333
1.2238913962,0.8775482
1.2239502992,0.8776654127
1.2239982905,0.8777007267
1.2240159445,0.8778181889
1.2240229181,0.8778927003
1.2240635302,0.8779725699
1.2240653294,0.8780625758
1.2241347572,0.8781404626
1.2241693151,0.8782232835
1.224157586,0.8783510104
1.2241693353,0.8784272901
1.224238859,0.8785468431
1.2242657967,0.8786401703
1.2243043063,0.8787505535
1.2243439722,0.8788496173
1.2243895811,0.8789575642
1.2244182501,0.8790405582
1.2244267664,0.8791430789
1.2244496844,0.8792365556
1.2244700222,0.8793439983
1.2244828525,0.8794447975
1.2245391477,0.8795386653
1.2245626701,0.8796214201
1.2246067768,0.8797651255
1.2246351371,0.8798500664
1.2246686853,0.8798707175
1.2247045305,0.8799548016
1.2247423859,0.8800023467
1.224777622,0.880104398
1.2247806371,0.8801716136
1.2247990145,0.8801906002
1.2248436598,0.8802562252
1.2248779177,0.8802493779
1.2249475193,0.8803003252
1.2250014502,0.8803479479
1.2250228357,0.8803807815
1.225061232,0.8805110074
1.2250968028,0.8806055407
1.2251711018,0.880754279
1.2252051985,0.880834837
1.225228556,0.8810059342
1.225249168,0.8811200047
1.2252924237,0.8812175201
1.2253377981,0.8813059533
1.2253782733,0.881344272
1.2254308219,0.8814557853
1.2254357108,0.8814902776
1.2254810884,0.881515324
1.2254987124,0.8815955951
1.2255235395,0.8816452463
1.225554158,0.8817631949
1.2256094123,0.8818607349
1.2256506882,0.8819608132
1.2256314967,0.8820202258
1.2256709856,0.8820871037
1.2256828842,0.8821658846
1.2257251027,0.8822973356
1.2257456715,0.8823537389
1.2258068421,0.8824256443
1.2258082321,0.8825446544
1.2258261258,0.8826038556
1.2258821696,0.8826913136
1.2259233516,0.8827974753
1.2259742145,0.8829230695
1.2259893431,0.8829831539
1.2260462692,0.8830757377
1.2260466774,0.8831822542
1.226126492,0.8832609263
1.2261565855,0.8833750095
1.2261399342,0.8834203087
1.2261730209,0.8835110521
1.2261944518,0.8836107332
1.226219933,0.8836747145
1.2262501511,0.8837596425
1.2262918469,0.8838311422
1.2262842587,0.8838945633
1.2263460274,0.8839581251
1.2263657451,0.8840774288
1.2264048393,0.88413433
1.2264208475,0.8842288128
1.2264606387,0.8843361934
1.2264422246,0.8844193284
1.2264880376,0.8844870784
1.2265311601,0.8845470388
1.2265939426,0.8846202661
1.226643992,0.8847464108
1.2266541152,0.8848154971
1.2266677194,0.8848978173
1.2266855132,0.8849452519
1.2267390648,0.8850294216
1.2267453908,0.8851067723
1.2267987431,0.8851901923
1.226831872,0.8853055403
1.2268347309,0.8853820906
1.2268602982,0.8844967085
